City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,La Asuncion,VE,11.0333,-63.8628,81.45,76,11,11.68,few clouds
1,Atuona,PF,-9.8,-139.0333,77.74,74,8,15.12,clear sky
2,Qaanaaq,GL,77.484,-69.3632,41.14,80,100,2.95,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,78.76,100,94,8.99,overcast clouds
5,Cabo San Lucas,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
6,Kodiak,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
7,Adrar,MR,20.5022,-10.0711,94.93,19,35,11.48,scattered clouds
8,San Quintin,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
9,Avarua,CK,-21.2078,-159.775,75.25,64,75,18.41,broken clouds
10,Sao Filipe,CV,14.8961,-24.4956,76.51,88,75,5.82,broken clouds
11,Saskylakh,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
12,Butaritari,KI,3.0707,172.7902,81.28,78,70,7.76,light rain
13,Barrow,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
14,Tura,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
15,Aksu,CN,41.1231,80.2644,75.25,24,0,10.47,clear sky
16,Aurdal,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
17,Rikitea,PF,-9.8,-139.0333,77.74,74,8,15.12,clear sky
18,Mazatlan,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
19,Evensk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
20,Albany,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
21,Dingle,PH,10.9995,122.6711,76.77,89,80,1.48,broken clouds
22,Falmouth,GB,50.1544,-5.0711,61.7,82,75,4.61,broken clouds
23,Asau,RO,46.4333,26.4,70.72,61,19,5.55,few clouds
24,Mahibadhoo,MV,3.7833,72.9667,80.67,75,100,13.33,overcast clouds
25,Alfredo Baquerizo Moreno,EC,-0.7393,-90.3518,78.76,100,94,8.99,overcast clouds
26,Hermanus,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
27,Bluff,NZ,-46.6,168.3333,40.8,72,100,6.96,overcast clouds
28,Franklin,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
29,Jamestown,US,42.097,-79.2353,86.02,53,75,18.41,broken clouds
30,Kapaa,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
31,Chivay,PE,-15.6383,-71.6011,55.87,28,34,4.0,scattered clouds
32,Narsaq,GL,77.484,-69.3632,41.14,80,100,2.95,overcast clouds
33,Derzhavinsk,KZ,51.1,66.3167,68.81,63,71,6.73,broken clouds
34,Port Lincoln,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
35,Maputo,MZ,-25.9653,32.5892,67.68,83,75,13.0,broken clouds
36,Port Hawkesbury,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
37,Husavik,IS,66.0449,-17.3389,45.7,90,100,5.68,overcast clouds
38,Arcachon,FR,44.5875,-1.0519,68.32,82,0,2.3,mist
39,Mindelo,CV,14.8961,-24.4956,76.51,88,75,5.82,broken clouds
40,Samusu,WS,-13.8745,-171.5986,83.98,77,34,24.9,light rain
41,Vaini,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
42,Artyk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
43,Bethel,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
44,Sur,OM,22.5667,59.5289,83.57,77,86,15.01,overcast clouds
45,Ust-Ordynskiy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
46,Baykit,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
47,Vardo,NO,60.9242,9.4159,64.11,76,100,2.35,overcast clouds
48,Saint-Pierre,RE,-21.3393,55.4781,67.68,64,0,13.8,clear sky
49,Kiama,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
50,Caribou,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
51,Ust-Karsk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
52,Mount Isa,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
53,Ushuaia,AR,-54.8,-68.3,31.66,86,100,21.85,snow
54,Entre Rios,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
55,Hobart,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
56,College,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
57,San Patricio,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
58,Itarema,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
59,Dikson,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
60,Vao,NC,-22.6667,167.4833,73.89,88,98,10.2,overcast clouds
61,Copacabana,CO,6.3463,-75.5089,81.03,53,40,13.8,scattered clouds
62,Hilo,US,57.79,-152.4072,53.73,83,100,11.01,overcast clouds
63,Cherskiy,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
64,Broome,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
65,Zhigansk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
66,Grand Gaube,MU,-20.0064,57.6608,68.4,75,94,10.0,light rain
67,Atikokan,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
68,Krasnoyarsk,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
69,Mataura,PF,-9.8,-139.0333,77.74,74,8,15.12,clear sky
70,Miragoane,HT,18.4423,-73.0876,85.51,68,48,5.97,scattered clouds
71,Thompson,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
72,Katsuura,JP,35.1333,140.3,78.82,82,64,9.1,broken clouds
73,Belmonte,BR,-11.9419,-38.0844,68.83,89,87,4.36,overcast clouds
74,Sambava,MG,-14.2667,50.1667,69.03,83,42,13.35,light rain
75,Geraldton,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
76,Fort Nelson,CA,45.6169,-61.3485,76.91,63,0,13.0,clear sky
77,Provideniya,RU,71.9167,114.0833,42.01,76,67,14.54,broken clouds
78,Balkanabat,TM,39.5108,54.3671,85.46,48,0,6.38,clear sky
79,Bayan,CN,46.0833,127.4,70.29,88,3,2.71,clear sky
80,Ancud,CL,-41.8697,-73.8203,40.23,67,77,11.48,broken clouds
81,Portland,US,42.6001,-73.9662,94.03,49,47,4.0,scattered clouds
82,Tasiilaq,GL,77.484,-69.3632,41.14,80,100,2.95,overcast clouds
83,Boende,CD,-0.2167,20.8667,75.0,81,57,1.59,broken clouds
