City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
1,Carutapera,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
2,Ushuaia,AR,-54.8,-68.3,31.66,86,100,21.85,snow
3,Rikitea,PF,-23.1203,-134.9692,73.35,75,0,3.98,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,35.62,80,75,23.02,broken clouds
5,Simao,CN,22.7886,100.9748,65.64,98,100,2.08,overcast clouds
6,Miri,MY,4.4148,114.0089,78.94,94,40,2.3,scattered clouds
7,Ponta Do Sol,PT,32.6667,-17.1,73.71,80,5,7.23,clear sky
8,San Buenaventura,MX,27.0833,-101.5333,108.48,18,40,9.22,scattered clouds
9,Barrow,US,71.2906,-156.7887,51.82,62,100,6.91,overcast clouds
10,Cabo San Lucas,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
11,Saint-Augustin,CA,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
12,Klaksvik,FO,62.2266,-6.589,49.12,91,98,18.7,overcast clouds
13,Coihaique,CL,-53.15,-70.9167,35.62,80,75,23.02,broken clouds
14,Antanifotsy,MG,-19.65,47.3167,49.32,91,100,9.08,overcast clouds
15,Fredericksburg,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
16,Emba,KZ,48.8264,58.1442,69.53,44,97,8.41,overcast clouds
17,Mehamn,NO,71.0357,27.8492,51.75,100,0,2.3,clear sky
18,Hov,NO,71.0357,27.8492,51.75,100,0,2.3,clear sky
19,Bredasdorp,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
20,Taolanaro,MG,-19.65,47.3167,49.32,91,100,9.08,overcast clouds
21,Mar Del Plata,AR,-54.8,-68.3,31.66,86,100,21.85,snow
22,Grigiskes,LT,54.6833,25.0833,61.9,84,0,5.75,clear sky
23,Padilla,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
24,Thompson,CA,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
25,Albany,US,42.6001,-73.9662,96.17,47,47,1.99,scattered clouds
26,Touros,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
27,Attawapiskat,CA,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
28,Hithadhoo,MV,-0.6,73.0833,80.94,69,100,2.84,overcast clouds
29,Miles City,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
30,Butaritari,KI,3.0707,172.7902,81.28,78,70,7.76,light rain
31,East London,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
32,Havarna,RO,48.0667,26.65,78.4,69,8,8.37,clear sky
33,Hobart,US,42.6001,-73.9662,96.17,47,47,1.99,scattered clouds
34,Bluff,NZ,-46.6,168.3333,39.79,72,100,6.96,overcast clouds
35,Ambulu,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
36,Airai,TL,-8.9266,125.4092,57.11,93,91,3.74,overcast clouds
37,Anloga,GH,5.7947,0.8973,75.31,75,32,10.76,scattered clouds
38,Kupang,ID,-8.345,113.6058,71.04,90,6,3.83,clear sky
39,Busselton,US,42.6001,-73.9662,96.17,47,47,1.99,scattered clouds
40,Kinango,KE,-4.1372,39.3153,65.79,95,5,6.31,clear sky
41,Coahuayana,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
42,Mataura,PF,-23.1203,-134.9692,73.35,75,0,3.98,clear sky
43,Mahebourg,MU,-20.4081,57.7,68.29,83,75,24.16,light intensity shower rain
44,Cape Town,ZA,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
45,Gotsu,JP,35.0,132.2167,75.13,66,100,6.35,overcast clouds
46,Tambacounda,SN,13.7539,-13.7586,82.45,83,0,2.3,clear sky
47,Bathsheba,BB,13.2167,-59.5167,84.81,95,40,16.11,scattered clouds
48,Bambous Virieux,MU,-20.4081,57.7,68.29,83,75,24.16,light intensity shower rain
49,Kaitangata,NZ,-46.6,168.3333,39.79,72,100,6.96,overcast clouds
50,Dingle,PH,10.9995,122.6711,76.77,89,80,1.48,broken clouds
51,Nanortalik,GL,60.1432,-45.2371,50.36,85,16,13.94,few clouds
52,Aklavik,CA,51.226,-58.6502,56.91,87,100,14.16,overcast clouds
53,Ewa Beach,US,38.3032,-77.4605,95.0,52,0,8.05,clear sky
54,Caravelas,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,78.76,100,94,8.01,overcast clouds
56,Novopskov,UA,49.5464,39.0899,59.77,93,100,7.34,light rain
57,Grindavik,IS,63.8424,-22.4338,53.55,87,40,16.11,scattered clouds
58,Jaguariaiva,BR,-1.195,-46.02,75.85,88,80,5.82,broken clouds
59,Saint-Philippe,RE,-21.3585,55.7679,65.79,78,45,13.69,scattered clouds
60,San Patricio,MX,22.8909,-109.9124,97.61,49,0,17.27,clear sky
