City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-07-19 17:52:42,-54.8,-68.3,42.46,61,40,4.61
1,Alofi,NU,2022-07-19 17:55:34,-19.0595,-169.9187,73.29,83,27,11.5
2,Cidreira,BR,2022-07-19 17:55:35,-30.1811,-50.2056,61.7,75,78,7.72
3,Atherton,GB,2022-07-19 17:55:35,53.5237,-2.4935,88.7,41,14,7.81
4,Bredasdorp,ZA,2022-07-19 17:55:35,-34.5322,20.0403,48.34,87,72,3.94
5,Huarmey,PE,2022-07-19 17:55:35,-10.0681,-78.1522,68.45,70,96,11.05
6,Punta Arenas,CL,2022-07-19 17:55:35,-53.15,-70.9167,41.11,81,40,11.5
7,Quesnel,CA,2022-07-19 17:55:35,52.9999,-122.5029,64.9,68,40,0.0
8,Hokitika,NZ,2022-07-19 17:55:35,-42.7167,170.9667,49.35,91,64,4.83
9,Busselton,AU,2022-07-19 17:55:36,-33.65,115.3333,57.4,77,100,9.37
10,Barrow,US,2022-07-19 17:55:36,71.2906,-156.7887,43.52,69,24,11.14
11,Paranhos,BR,2022-07-19 17:55:36,-23.8928,-55.4311,83.41,45,0,4.79
12,Tuktoyaktuk,CA,2022-07-19 17:55:36,69.4541,-133.0374,51.8,93,100,12.66
13,Mahebourg,MU,2022-07-19 17:55:36,-20.4081,57.7,71.26,73,40,21.85
14,Solnechnyy,RU,2022-07-19 17:55:36,50.7214,136.6319,55.11,99,100,4.0
15,Chuy,UY,2022-07-19 17:55:36,-33.6971,-53.4616,54.97,62,1,6.29
16,Rosarito,MX,2022-07-19 17:55:36,32.3333,-117.0333,88.63,61,4,10.33
17,Atuona,PF,2022-07-19 17:55:37,-9.8,-139.0333,77.67,63,71,12.75
18,Melilla,ES,2022-07-19 17:55:37,35.2937,-2.9383,86.2,74,0,5.75
19,Port Elizabeth,ZA,2022-07-19 17:51:48,-33.918,25.5701,59.31,99,75,12.66
20,Iqaluit,CA,2022-07-19 17:55:37,63.7506,-68.5145,38.93,100,100,11.5
21,Mataura,NZ,2022-07-19 17:55:37,-46.1927,168.8643,42.48,90,99,3.65
22,Arona,ES,2022-07-19 17:55:37,28.0996,-16.681,79.99,61,20,23.02
23,New Norfolk,AU,2022-07-19 17:55:37,-42.7826,147.0587,40.5,85,7,2.62
24,Sussex,US,2022-07-19 17:55:37,41.1834,-74.6663,89.24,53,0,3.0
25,Provideniya,RU,2022-07-19 17:55:37,64.3833,-173.3,42.4,77,100,1.03
26,San Patricio,US,2022-07-19 17:55:38,28.017,-97.5169,96.19,39,6,16.15
27,Barentu,ER,2022-07-19 17:55:38,15.1139,37.5928,79.72,57,100,6.69
28,Jamestown,US,2022-07-19 17:55:38,42.097,-79.2353,87.06,50,0,11.5
29,Hermanus,ZA,2022-07-19 17:55:38,-34.4187,19.2345,47.8,74,27,4.43
30,Port Alfred,ZA,2022-07-19 17:55:38,-33.5906,26.891,62.19,90,54,4.0
31,Nadrag,RO,2022-07-19 17:55:38,45.65,22.1833,72.16,40,3,4.59
32,Linjiang,CN,2022-07-19 17:55:39,41.8069,126.9078,63.57,98,36,1.48
33,Innisfail,AU,2022-07-19 17:55:39,-17.5333,146.0333,64.13,85,41,5.7
34,Altay,CN,2022-07-19 17:55:39,47.8667,88.1167,56.98,48,45,4.81
35,Bereda,ES,2022-07-19 17:55:39,43.2686,-7.5406,71.42,68,60,7.85
36,Rikitea,PF,2022-07-19 17:55:39,-23.1203,-134.9692,74.08,73,1,10.11
37,Deputatskiy,RU,2022-07-19 17:55:40,69.3,139.9,32.34,99,100,4.81
38,Fairbanks,US,2022-07-19 17:55:40,64.8378,-147.7164,53.49,92,75,10.36
39,Mackay,AU,2022-07-19 17:55:40,-21.15,149.2,64.51,83,4,11.65
40,Lebu,CL,2022-07-19 17:55:40,-37.6167,-73.65,51.33,58,91,1.61
41,Kyra,RU,2022-07-19 17:55:40,49.5776,111.9753,59.23,87,94,1.61
42,Hithadhoo,MV,2022-07-19 17:55:40,-0.6,73.0833,78.53,80,100,7.85
43,Victoria,HK,2022-07-19 17:55:40,22.2855,114.1577,87.33,80,100,5.99
44,Kaduna,NG,2022-07-19 17:55:41,10.5222,7.4383,73.78,79,79,3.76
45,Cherskiy,RU,2022-07-19 17:55:41,68.75,161.3,36.34,78,96,12.41
46,Ribeira Grande,PT,2022-07-19 17:55:41,38.5167,-28.7,73.8,94,40,5.75
47,Westport,US,2022-07-19 17:55:41,41.1415,-73.3579,91.27,58,4,1.01
48,Albany,US,2022-07-19 17:55:42,42.6001,-73.9662,89.46,48,4,4.0
49,Airai,TL,2022-07-19 17:55:42,-8.9266,125.4092,52.74,81,25,2.66
50,Trairi,BR,2022-07-19 17:53:29,-3.2778,-39.2689,85.35,59,60,14.47
51,Tasiilaq,GL,2022-07-19 17:55:43,65.6145,-37.6368,40.62,76,51,2.55
52,Tiksi,RU,2022-07-19 17:55:43,71.6872,128.8694,33.87,95,100,16.84
53,Pitimbu,BR,2022-07-19 17:55:43,-7.4706,-34.8086,81.19,73,22,15.86
54,Vaini,TO,2022-07-19 17:55:43,-21.2,-175.2,73.56,94,40,12.66
55,Bethel,US,2022-07-19 17:55:43,41.3712,-73.414,90.36,59,1,4.0
56,Saskylakh,RU,2022-07-19 17:55:43,71.9167,114.0833,36.48,77,80,13.69
57,Mangai,CD,2022-07-19 17:55:44,-4.05,19.5333,75.15,68,95,3.04
58,Devils Lake,US,2022-07-19 17:55:44,48.1128,-98.8651,71.94,58,40,25.32
59,Namibe,AO,2022-07-19 17:55:44,-15.1961,12.1522,62.37,89,21,3.94
60,Beringovskiy,RU,2022-07-19 17:55:45,63.05,179.3167,50.63,80,100,5.44
61,Termiz,UZ,2022-07-19 17:54:35,37.2242,67.2783,89.69,17,0,6.91
62,Vega De Alatorre,MX,2022-07-19 17:55:45,20.0333,-96.6333,90.57,56,37,15.88
63,San Pedro,PH,2022-07-19 17:55:45,14.35,121.0167,83.43,81,40,2.3
64,Santa Marinella,IT,2022-07-19 17:55:47,42.0345,11.8536,89.69,49,0,5.91
65,Kot Kapura,IN,2022-07-19 17:55:47,30.5833,74.9,95.11,48,57,0.92
66,Faya,SA,2022-07-19 17:55:47,18.3851,42.4509,64.92,60,100,5.77
67,Saint-Francois,FR,2022-07-19 17:55:47,46.4154,3.9054,98.04,26,0,9.22
68,Acapulco,MX,2022-07-19 17:55:47,16.8634,-99.8901,86.77,70,30,5.93
69,Olafsvik,IS,2022-07-19 17:55:47,64.8945,-23.7142,54.07,72,99,12.28
70,Upernavik,GL,2022-07-19 17:55:48,72.7868,-56.1549,45.54,72,100,6.33
71,Manokwari,ID,2022-07-19 17:55:48,-0.8667,134.0833,77.9,81,100,7.83
72,Egvekinot,RU,2022-07-19 17:55:48,66.3167,-179.1667,38.84,76,99,1.77
73,Shimoda,JP,2022-07-19 17:55:48,34.6667,138.95,78.1,88,97,20.56
74,Atambua,ID,2022-07-19 17:55:48,-9.1061,124.8925,65.1,88,82,6.58
75,East London,ZA,2022-07-19 17:55:48,-33.0153,27.9116,61.74,94,0,12.66
76,Nuuk,GL,2022-07-19 17:52:26,64.1835,-51.7216,51.03,73,71,3.96
77,Milton,US,2022-07-19 17:55:48,34.1322,-84.3007,82.9,45,48,9.04
78,Kavieng,PG,2022-07-19 17:55:48,-2.5744,150.7967,80.71,79,100,8.12
79,Carnarvon,AU,2022-07-19 17:55:49,-24.8667,113.6333,64.71,60,5,10.38
80,Kotido,UG,2022-07-19 17:55:49,2.9806,34.1331,71.89,63,100,3.67
81,Miri,MY,2022-07-19 17:55:49,4.4148,114.0089,78.94,94,40,3.44
82,Livramento,BR,2022-07-19 17:55:49,-3.0254,-60.1803,92.08,55,40,11.5
83,Tura,IN,2022-07-19 17:55:49,25.5198,90.2201,74.66,97,98,5.55
84,Hobart,AU,2022-07-19 17:55:49,-42.8794,147.3294,40.86,89,40,3.44
85,Chumikan,RU,2022-07-19 17:55:50,54.7183,135.315,52.11,99,100,11.12
86,Juneau,US,2022-07-19 17:55:50,58.3019,-134.4197,58.21,96,100,3.58
87,Zlobin,HR,2022-07-19 17:55:50,45.2924,14.6541,81.7,22,0,10.36
88,Itarema,BR,2022-07-19 17:55:51,-2.9248,-39.9167,86.45,60,78,16.91
